fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter
Marijana PETIR,Croatia,Group of the European People's Party (Christian Democrats),124749,Independent,marijana_petir
Florian PHILIPPOT,France,Europe of Freedom and Direct Democracy Group,110977,Les Patriotes,f_philippot
Pina PICIERNO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124846,Partito Democratico,pinapic
Tonino PICULA,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112744,Socijaldemokratska partija Hrvatske,TPicula
Bolesław G. PIECHA,Poland,European Conservatives and Reformists Group,124874,Prawo i Sprawiedliwość,
Markus PIEPER,Germany,Group of the European People's Party (Christian Democrats),28224,Christlich Demokratische Union Deutschlands,markuspieperMEP
Sirpa PIETIKÄINEN,Finland,Group of the European People's Party (Christian Democrats),40599,Kansallinen Kokoomus,spietikainen
João PIMENTA LOPES,Portugal,Confederal Group of the European United Left - Nordic Green Left,136236,Partido Comunista Português,jpimentalopes
Mirosław PIOTROWSKI,Poland,European Conservatives and Reformists Group,28341,Niezależny,
Kati PIRI,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,37229,Partij van de Arbeid,KatiPiri
Georgi PIRINSKI,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124855,Bulgarian Socialist Party,
Julia PITERA,Poland,Group of the European People's Party (Christian Democrats),124898,Platforma Obywatelska,
Marek PLURA,Poland,Group of the European People's Party (Christian Democrats),124881,Platforma Obywatelska,marekplura
Pavel POC,Czech Republic,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96715,Česká strana sociálně demokratická,pavelpoc
Miroslav POCHE,Czech Republic,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124699,Česká strana sociálně demokratická,PocheMEP
Salvatore Domenico POGLIESE,Italy,Group of the European People's Party (Christian Democrats),124853,Forza Italia,SalvoPogliese
Stanislav POLČÁK,Czech Republic,Group of the European People's Party (Christian Democrats),124704,Starostové a nezávisli,stanislavpolcak
Maurice PONGA,France,Group of the European People's Party (Christian Democrats),96931,Les Républicains,mauriceponga
Răzvan POPA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,189490,Partidul Social Democrat,
Tomasz Piotr PORĘBA,Poland,European Conservatives and Reformists Group,96801,Prawo i Sprawiedliwość,TomaszPoreba
Jiří POSPÍŠIL,Czech Republic,Group of the European People's Party (Christian Democrats),125706,TOP 09 a Starostové,Pospisil_Jiri
Soraya POST,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124997,Feministiskt initiativ,SorayaPostFi
Cristian Dan PREDA,Romania,Group of the European People's Party (Christian Democrats),96838,Independent,CDPreda
Marcus PRETZELL,Germany,Europe of Nations and Freedom Group,124830,Die blaue Partei,MarcusPretzell
Gabriele PREUSS,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124888,Sozialdemokratische Partei Deutschlands,GabrielePreuss
John PROCTER,United Kingdom,European Conservatives and Reformists Group,185628,Conservative Party,jproctermep
Franck PROUST,France,Group of the European People's Party (Christian Democrats),108080,Les Républicains,franckproust
Carolina PUNSET,Spain,Group of the Alliance of Liberals and Democrats for Europe,90110,Ciudadanos – Partido de la Ciudadanía,CarolinaPunset
Godelieve QUISTHOUDT-ROWOHL,Germany,Group of the European People's Party (Christian Democrats),1055,Christlich Demokratische Union Deutschlands,GQuisthoudt
Emil RADEV,Bulgaria,Group of the European People's Party (Christian Democrats),124850,Citizens for European Development of Bulgaria,Emil_Radev
Jozo RADOŠ,Croatia,Group of the Alliance of Liberals and Democrats for Europe,112753,Građansko-liberalni savez,jozorados
